10	15
10	16
10	51
31	0
31	13
31	21
31	33
31	39
31	40
31	43
31	49
31	462
41	11
41	17
41	28
41	45
41	376
41	413
41	444
41	482
41	485
53	8
53	34
53	38
53	110
69	54
69	91
69	310
69	339
89	70
89	75
89	98
89	340
89	350
113	47
113	103
113	107
113	114
113	132
113	135
113	153
113	220
113	251
113	478
149	18
149	23
149	52
149	371
149	396
149	421
149	465
149	492
159	177
159	183
159	195
159	198
159	202
159	249
159	266
159	281
159	303
164	161
164	165
164	170
164	184
164	276
164	296
172	163
172	185
172	193
172	196
174	154
174	166
174	189
174	197
174	264
201	111
201	124
201	235
201	256
201	262
201	406
201	425
207	99
207	136
207	138
207	271
207	278
207	377
207	380
207	381
207	411
207	454
222	208
222	234
222	417
222	448
224	123
224	171
224	205
224	274
224	282
224	293
224	299
224	360
224	382
224	475
240	106
240	213
240	229
240	392
240	423
240	447
240	491
259	119
259	199
259	221
259	225
259	233
259	265
259	290
259	437
259	467
259	469
272	144
272	148
272	168
272	169
272	178
272	219
272	275
272	284
272	304
272	373
286	143
286	180
286	216
286	242
286	253
286	292
286	368
286	433
309	94
309	322
309	335
309	351
358	60
358	67
358	88
358	328
358	336
358	342
358	343
358	353
358	357
364	150
364	217
364	263
364	289
364	295
364	298
364	409
364	431
364	461
379	212
379	227
379	230
379	422
379	456
379	460
401	20
401	50
401	238
401	367
401	407
401	488
403	231
403	374
403	415
403	487
414	9
414	27
414	388
414	402
414	405
414	418
414	420
414	429
414	434
426	14
426	25
426	399
426	443
426	452
426	455
426	463
435	108
435	223
435	244
435	366
435	395
435	400
435	445
435	470
435	472
435	477
446	121
446	131
446	245
446	250
446	383
446	427
446	440
446	451
446	453
446	484
